YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,5,21,99.88,7.51,9.55,5.31,4.23,219.06,9.46,10.95,8.02,2.93,219.5,69.56,30.42
2021,5,22,99.88,6.61,7.72,5.38,2.34,221.88,8.3,9.38,7.55,1.83,221.88,70.56,30.25
2021,5,23,100.03,5.42,6.37,4.62,1.76,228.69,6.98,8.05,5.87,2.19,228.56,68,30.43
2021,5,24,100.22,5.12,5.98,3.82,2.16,249.19,6.55,8.16,4.89,3.27,249.5,64.88,30.48
2021,5,25,100.01,6.67,8.32,4.52,3.8,248,8.27,9.45,7.06,2.39,248.31,69.25,30.31
2021,5,26,99.74,7.91,9.12,6.26,2.87,247,9.65,10.66,8.43,2.24,247.44,70.56,30.68
2021,5,27,99.69,6.65,8.11,5.39,2.72,233.88,8.15,8.77,7.25,1.52,234.12,69.25,31.3
2021,5,28,99.78,6.23,7.12,4.88,2.24,224.69,7.59,7.93,7.03,0.9,224.5,68.06,31.47
2021,5,29,99.91,6.71,8.14,4.98,3.16,226.75,8.24,8.82,7.58,1.24,226.62,67.62,31.17
2021,5,30,99.92,7.29,9.24,5.7,3.54,235.69,8.89,10.19,7.99,2.2,236.12,67.5,31.01
2021,5,31,99.66,8,9.97,5.98,4,238.06,9.72,11.27,8.3,2.97,238.62,68.62,30.76
2021,6,1,99.67,7.8,9.32,6.48,2.84,233.75,9.48,10.55,8.66,1.88,234,66.38,31.15
2021,6,2,99.86,6.62,8.35,4.37,3.98,230.5,8.19,9.31,6.59,2.73,230.38,64.69,31.19
2021,6,3,99.99,5.65,7.8,3.2,4.61,228.38,7.04,8.41,5.4,3.01,228.31,65.56,30.9
2021,6,4,100.05,4.86,6.91,2.53,4.39,232.94,6.12,7.64,4.85,2.78,232.88,64.38,31.04
2021,6,5,99.92,5.35,6.91,3.89,3.03,224.06,6.73,7.95,5.74,2.21,223.69,62.62,31.25
2021,6,6,99.97,5.23,6.34,2.98,3.35,225.31,6.38,8.17,5.34,2.84,224.75,62.38,31.62
2021,6,7,99.94,6.18,7.27,4.68,2.59,234.56,7.35,8.19,6.2,1.99,234.5,63.19,31.62
2021,6,8,99.83,7.38,9.36,4.62,4.74,243.12,8.79,10.62,6.52,4.1,243.38,64.88,31.43
2021,6,9,99.66,8.29,10.2,6.05,4.15,244,9.9,11.21,8.29,2.91,244.25,64.69,31.34
2021,6,10,99.51,7.88,9.79,4.77,5.02,238.31,9.45,10.92,7.12,3.8,238.44,63.88,31.62
2021,6,11,99.46,7.93,9.35,5.74,3.62,235.25,9.5,10.45,7.93,2.52,235.5,63.94,31.82
2021,6,12,99.48,8.25,9.99,5.66,4.33,238.81,9.85,11.07,7.92,3.15,239,65.75,32.12
2021,6,13,99.48,8.23,10.3,6.18,4.12,238.25,9.73,11.34,8.14,3.2,238.44,66.62,31.85
2021,6,14,99.36,7.55,9.34,5.02,4.33,234.25,8.84,10.12,6.62,3.51,234.44,65.62,31.86
2021,6,15,99.16,8.13,9.98,5.39,4.59,230.06,9.48,10.83,6.99,3.84,230.25,64.31,31.86
2021,6,16,99.16,7.18,8.56,5.84,2.73,226.5,8.34,9.32,7.26,2.06,226.69,64.25,32.27
2021,6,17,99.32,5.68,7.42,3.91,3.52,235.88,6.54,8.68,5.44,3.24,236.5,60,32.67
2021,6,18,99.49,5.63,7.49,3.69,3.8,241,6.76,9.68,4.98,4.7,241.44,62.62,31.63
2021,6,19,99.66,6.55,8.16,4.57,3.59,246.69,8.16,8.96,6.91,2.06,247.06,70,30.19
2021,6,20,99.71,7.11,8.8,5.43,3.38,241.75,8.74,9.75,7.5,2.25,242.19,67.38,30.71
2021,6,21,99.85,6.9,8.54,4.82,3.72,242.94,8.38,9.23,6.77,2.46,243.38,66.25,30.94
